created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Aug 28 23:48:40 +0000 2023;1696308850113311063;"-ness headset ku yg ketinggalan di ruang L3 minggu lalu, hri ini raib😊👍";0;2;0;0;in;1187284958370398209;1696308850113311063;unnesmenfess;https://twitter.com/unnesmenfess/status/1696308850113311063
Mon Aug 28 23:43:58 +0000 2023;1696307668221374713;"-ness aku kan smt 7 ambil skripsi tp jg masih ada plp hari senin-jumat, misal nego mau bimbingan hari sabtu atau minggu gitu kira2 sopan engga ya";0;4;0;2;in;1187284958370398209;1696307668221374713;unnesmenfess;https://twitter.com/unnesmenfess/status/1696307668221374713
Mon Aug 28 23:41:41 +0000 2023;1696307092527972474;"-ness kalian yg ga masak nasi sendiri, makan sehari abis berapa?";0;13;0;1;in;1187284958370398209;1696307092527972474;unnesmenfess;https://twitter.com/unnesmenfess/status/1696307092527972474
Mon Aug 28 23:33:36 +0000 2023;1696305059716641234;"-ness yg kosnya di patemon, matlis gaa?";0;4;0;1;in;1187284958370398209;1696305059716641234;unnesmenfess;https://twitter.com/unnesmenfess/status/1696305059716641234
Mon Aug 28 23:17:50 +0000 2023;1696301090617131089;"@unnesmenfess ready ka";0;0;0;0;en;1694679760335732736;1696273773853622287;jo_jekunnes;https://twitter.com/jo_jekunnes/status/1696301090617131089
Mon Aug 28 23:09:51 +0000 2023;1696299082174628104;"-ness sk yudisium downloadnya dimana? perlu dateng ke fakultas langsung?";0;4;0;1;in;1187284958370398209;1696299082174628104;unnesmenfess;https://twitter.com/unnesmenfess/status/1696299082174628104
Mon Aug 28 23:07:47 +0000 2023;1696298562135425295;"-ness ada yg lagi butuh semangat gasih yg semester tua barangkali ada tapi yg mba-mba";0;8;0;2;in;1187284958370398209;1696298562135425295;unnesmenfess;https://twitter.com/unnesmenfess/status/1696298562135425295
Mon Aug 28 22:59:16 +0000 2023;1696296416925127144;"@unnesmenfess Ready";0;0;0;0;en;1681599176306728960;1696288916452581725;Anjem_unnes;https://twitter.com/Anjem_unnes/status/1696296416925127144
Mon Aug 28 22:55:21 +0000 2023;1696295433935421593;"-ness info yang jual nasi kuning enak";0;0;0;1;in;1187284958370398209;1696295433935421593;unnesmenfess;https://twitter.com/unnesmenfess/status/1696295433935421593
Mon Aug 28 22:49:09 +0000 2023;1696293871179686197;"-ness bangun bangun cek sosmed rame ada gempa di Kalimantan sama Lombok dini hari tadi. Sender ngga kerasa, kalian?";0;3;0;3;in;1187284958370398209;1696293871179686197;unnesmenfess;https://twitter.com/unnesmenfess/status/1696293871179686197
Mon Aug 28 22:46:08 +0000 2023;1696293114569212350;"@unnesmenfess Yuk kak redyy";0;0;0;0;in;1686631323824427008;1696288916452581725;Anjem_BangRizal;https://twitter.com/Anjem_BangRizal/status/1696293114569212350
Mon Aug 28 22:29:27 +0000 2023;1696288916452581725;"-ness ada yg open anjem jam 7 pagi ini ngga ya?";0;6;0;0;in;1187284958370398209;1696288916452581725;unnesmenfess;https://twitter.com/unnesmenfess/status/1696288916452581725
Mon Aug 28 22:24:38 +0000 2023;1696287703703421102;"embung unnes tuh ada ikannya gasih trs boleh egk mancing disitu";0;2;0;3;in;1115179680456298496;1696287703703421102;emangmaniss;https://twitter.com/emangmaniss/status/1696287703703421102
Mon Aug 28 22:13:59 +0000 2023;1696285023266332795;"@unnesmenfess Ready";0;0;0;0;en;1681599176306728960;1696273773853622287;Anjem_unnes;https://twitter.com/Anjem_unnes/status/1696285023266332795
Mon Aug 28 21:39:42 +0000 2023;1696276394219880907;"-ness air di kostan kalian juga mati ngga si, sebel banget masa dari tadi malem belom nyala😭☝🏻";0;4;0;0;in;1187284958370398209;1696276394219880907;unnesmenfess;https://twitter.com/unnesmenfess/status/1696276394219880907
Mon Aug 28 21:31:36 +0000 2023;1696274354756338105;"@unnesmenfess Ready anjem 24 jam harga murah meriah dan driver ramah minat? Pc ke https://t.co/TSQfFwlFwi";0;0;0;0;in;1663885887191781377;1696273773853622287;ropik690;https://twitter.com/ropik690/status/1696274354756338105
Mon Aug 28 21:29:17 +0000 2023;1696273773853622287;"-ness ada ngga anjem dari sampangan ke fk kelud pagi nanti, drop fee dong";0;7;0;0;in;1187284958370398209;1696273773853622287;unnesmenfess;https://twitter.com/unnesmenfess/status/1696273773853622287
Mon Aug 28 19:55:18 +0000 2023;1696250119774261585;"sender hari ini sidang dan gabisa tidur😔 -ness";0;9;0;3;in;1187284958370398209;1696250119774261585;unnesmenfess;https://twitter.com/unnesmenfess/status/1696250119774261585
Mon Aug 28 19:50:16 +0000 2023;1696248853815771217;"@unnesmenfess gas, sekalian persiapan unnes games :)";0;0;0;0;in;1557216329509523457;1696208780621738162;BilhaqAddin;https://twitter.com/BilhaqAddin/status/1696248853815771217
Mon Aug 28 19:28:05 +0000 2023;1696243272606458320;"-ness jam segini masih ada yg open jastip? Laperr 🥲";0;2;0;2;in;1187284958370398209;1696243272606458320;unnesmenfess;https://twitter.com/unnesmenfess/status/1696243272606458320
Mon Aug 28 18:47:37 +0000 2023;1696233087276101898;"-ness idup lg lantip lantipnya malah ngelembur laporan giat 😭😭😭";1;0;0;3;in;1187284958370398209;1696233087276101898;unnesmenfess;https://twitter.com/unnesmenfess/status/1696233087276101898
Mon Aug 28 18:04:08 +0000 2023;1696222146203369730;"@collegemenfess Caranya gmn ya? Ada tutornya ga?";0;0;0;0;in;3224670776;1696200154536464733;br0wnsugars5;https://twitter.com/br0wnsugars5/status/1696222146203369730
Mon Aug 28 18:04:02 +0000 2023;1696222119984775651;"-infoness tukang pijet yang bisa benerin tulang geser/patah yg masih buka sekarang";0;1;0;1;in;1187284958370398209;1696222119984775651;unnesmenfess;https://twitter.com/unnesmenfess/status/1696222119984775651
Mon Aug 28 18:03:00 +0000 2023;1696221860118282745;"sedih tp ga sedih, tp sedih hiiiiiiiyyy";0;0;0;0;in;1601196017277280256;1696221860118282745;pedaganghoki;https://twitter.com/pedaganghoki/status/1696221860118282745
Mon Aug 28 18:02:56 +0000 2023;1696221843504644492;"Adakah anak Teksip di sini -ness";0;1;0;0;in;1187284958370398209;1696221843504644492;unnesmenfess;https://twitter.com/unnesmenfess/status/1696221843504644492
Mon Aug 28 18:02:01 +0000 2023;1696221614202044641;"@unnesmenfess kalo mau aku punya no wa masnya. blio punya petshop di sampangan, tp sering warga wiri sembuh kucing jalanan";1;0;0;0;in;1601196017277280256;1696188900463858032;pedaganghoki;https://twitter.com/pedaganghoki/status/1696221614202044641
Mon Aug 28 17:58:05 +0000 2023;1696220623549382739;"@unnesmenfess keseringan berantem bikin muka cepet tuaa";0;0;0;0;in;1601196017277280256;1696206099614179710;pedaganghoki;https://twitter.com/pedaganghoki/status/1696220623549382739
Mon Aug 28 17:57:19 +0000 2023;1696220429587984757;"@heraafa @unnesmenfess 30k kak, udah agak lama sih jd kurang tau harga skrg";0;0;0;0;in;1601196017277280256;1696188900463858032;pedaganghoki;https://twitter.com/pedaganghoki/status/1696220429587984757
Mon Aug 28 17:51:46 +0000 2023;1696219032964448517;"Kdg prnh mikir 'kok g prnh dpt cowok sampe skrg apa krna muakku yg jelk apa gimana' tp ya dahlah ga usah trllu dipikirn lagi. Love mu self lbh baik drpd harus berpatok pada org lain";0;0;0;0;in;3224670776;1696219032964448517;br0wnsugars5;https://twitter.com/br0wnsugars5/status/1696219032964448517
Mon Aug 28 17:49:20 +0000 2023;1696218421837635781;"-ness tutorial cara curhat dong, kok saya ga pernah ya curhat ke orang lain, baik ga kalo kek gitu?";0;8;0;3;in;1187284958370398209;1696218421837635781;unnesmenfess;https://twitter.com/unnesmenfess/status/1696218421837635781
Mon Aug 28 17:48:33 +0000 2023;1696218224445297089;"Pernah, tp akhirnya pendem sendiri nangis sendiri.";0;0;0;0;in;3224670776;1696218224445297089;br0wnsugars5;https://twitter.com/br0wnsugars5/status/1696218224445297089
Mon Aug 28 17:45:10 +0000 2023;1696217373139972554;"@unnesmenfess Ini unnes bagian mana wei";0;0;0;0;in;842904321465368576;1696194795625148495;scmgbm;https://twitter.com/scmgbm/status/1696217373139972554
Mon Aug 28 17:43:41 +0000 2023;1696216999880532334;"-ness share playlist spotify kalian dong, bosen banget denger lagu itu2 mulu";0;9;0;3;in;1187284958370398209;1696216999880532334;unnesmenfess;https://twitter.com/unnesmenfess/status/1696216999880532334
