created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Aug 29 12:04:57 +0000 2023;1696494144146071826;"@FitrahDharul @gogo74070675957 @BosPurwa @aniesbaswedan @abwnews_ @AgusYudhoyono @suryapaloh51 @syaikhu_ahmad @NasDem @PKSejahtera @PDemokrat @DPP_PartaiUmmat @pemudakabah @PanglimaPemuda1 @PemudaNasDem @PPPemudaMu @Mjl_Rasulullah @aniesmania @undip @univ_indonesia @unpad @UGMYogyakarta @UB_Official @Unair_Official @UNJ_Official @upiofficial @univ_terbuka @usakti_official @itbofficial @bemfe_unnes @anak_unhas @official_unand @DPR_RI @mprgoid @dprddkijakarta @paramadina @ipbofficial @bem_unpad Udah aq blg td,, para KADAL KADRUNISTA mcm kamu ini ahlinya jagonya bkin HOAX,edit gambar lah pokoke ahli provokatif, yg salah dblg BENER n yg BENER mlh dibilang SALAH 😂";0;1;0;1;in;1555399549295869952;1694977092788892083;MikaellHanggoro;https://twitter.com/MikaellHanggoro/status/1696494144146071826
Tue Aug 29 12:04:27 +0000 2023;1696494017402581081;"-ness ada yang bisa jastip belikan milor samping alfa gak? Sertakan fee ya";0;5;0;0;in;1187284958370398209;1696494017402581081;unnesmenfess;https://twitter.com/unnesmenfess/status/1696494017402581081
Tue Aug 29 12:01:52 +0000 2023;1696493365305684372;"-ness jastip gacoan buat malem ini gak yaa? drop feenya jg";0;1;0;0;in;1187284958370398209;1696493365305684372;unnesmenfess;https://twitter.com/unnesmenfess/status/1696493365305684372
Tue Aug 29 11:58:59 +0000 2023;1696492641515610252;"@undipmenfess semalem masih nder, kalo mau cari pasar malem di unnes ada jugaaa";0;0;0;0;in;1115179680456298496;1696492248140279881;emangmaniss;https://twitter.com/emangmaniss/status/1696492641515610252
Tue Aug 29 11:58:23 +0000 2023;1696492489182708109;"-ness ada yg pernah ikut layanan konseling ini di fipp ngga? itu ada fee nya atau free ya? yg pernah boleh reply ga sender mo tanya2 dong, tq before 🫶 https://t.co/WGvbkjKMGu";0;3;0;3;in;1187284958370398209;1696492489182708109;unnesmenfess;https://twitter.com/unnesmenfess/status/1696492489182708109
Tue Aug 29 11:56:26 +0000 2023;1696492000911196509;"-ness info anjem buat ke bandara besok jam 11, sender bawa koper kecil, sertakan fee, kalo bisa driver cewe ya";0;7;0;1;in;1187284958370398209;1696492000911196509;unnesmenfess;https://twitter.com/unnesmenfess/status/1696492000911196509
Tue Aug 29 11:55:35 +0000 2023;1696491786301317510;"-ness butuh anjem dari cempakasari ke paragon mall skrg. Tlg sertakan fee sekalian ya. Tia.";0;9;0;1;in;1187284958370398209;1696491786301317510;unnesmenfess;https://twitter.com/unnesmenfess/status/1696491786301317510
Tue Aug 29 11:55:19 +0000 2023;1696491719485956249;"@FitrahDharul @gogo74070675957 @BosPurwa @aniesbaswedan @abwnews_ @AgusYudhoyono @suryapaloh51 @syaikhu_ahmad @NasDem @PKSejahtera @PDemokrat @DPP_PartaiUmmat @pemudakabah @PanglimaPemuda1 @PemudaNasDem @PPPemudaMu @Mjl_Rasulullah @aniesmania @undip @univ_indonesia @unpad @UGMYogyakarta @UB_Official @Unair_Official @UNJ_Official @upiofficial @univ_terbuka @usakti_official @itbofficial @bemfe_unnes @anak_unhas @official_unand @DPR_RI @mprgoid @DPDRI @Ulamalovers @ulama Aagh udah apal n paham bgt,, majikanmu itu ahlinya jagonya bkin HOAX penebar HOAX n jongos kesetnya mcm km nih demen bgt nelen HOAX sampe kknyangan 😂😂";0;2;0;0;in;1555399549295869952;1694977092788892083;MikaellHanggoro;https://twitter.com/MikaellHanggoro/status/1696491719485956249
Tue Aug 29 11:53:44 +0000 2023;1696491317654933816;"-ness bagi rekomendasi makan malam dongg sender bingung mau makan apa, makasihh";0;4;0;0;in;1187284958370398209;1696491317654933816;unnesmenfess;https://twitter.com/unnesmenfess/status/1696491317654933816
Tue Aug 29 11:53:31 +0000 2023;1696491266392146235;"habis itu diem lagi. Tipsnya biar bisa nyaman dan merasa ga sendirian apa ya...🙏";0;1;0;0;in;1187284958370398209;1696491265024803095;unnesmenfess;https://twitter.com/unnesmenfess/status/1696491266392146235
Tue Aug 29 11:53:31 +0000 2023;1696491265024803095;"-ness mau curhat jadi sender maba introvert dan kebetulan dapet klompok yang beda terus sama temen² sender. Nah waktu mau kenalan atau nyapa sender agak takut dan ga enak gitu dan sering merasa sendiri terus di klompok. Kadang ngobrol tapi cuma nanya nama atau asal aja  (cont..)";0;3;0;0;in;1187284958370398209;1696491265024803095;unnesmenfess;https://twitter.com/unnesmenfess/status/1696491265024803095
Tue Aug 29 11:48:48 +0000 2023;1696490077730570707;"di u -ness ada ga sih yg jual tahu kress gini selain di indomaret patemon soalnya pas ngecek selalu tutup, makasihh https://t.co/Ah3LSl0AsU";0;2;0;4;in;1187284958370398209;1696490077730570707;unnesmenfess;https://twitter.com/unnesmenfess/status/1696490077730570707
Tue Aug 29 11:47:32 +0000 2023;1696489760825737427;"-ness ada yang bisa anjem dari trangkil ke unnes ga ya? makasih";0;8;1;0;in;1187284958370398209;1696489760825737427;unnesmenfess;https://twitter.com/unnesmenfess/status/1696489760825737427
Tue Aug 29 11:44:23 +0000 2023;1696488967699583152;"Di unnes ada yg jual ayam shi lin ga sih -ness ?Tbtb bm ayam shih lin 🥺";0;3;0;0;in;1187284958370398209;1696488967699583152;unnesmenfess;https://twitter.com/unnesmenfess/status/1696488967699583152
Tue Aug 29 11:42:36 +0000 2023;1696488517227229423;"-ness ada yg mau sewain dress putihnya ga yaa sender butuh buat kkl mau beli sayang cuma dipake sekali";0;1;0;0;in;1187284958370398209;1696488517227229423;unnesmenfess;https://twitter.com/unnesmenfess/status/1696488517227229423
Tue Aug 29 11:38:28 +0000 2023;1696487479111782750;"@coklat_pait22 @collegemenfess Mjb kak, kalau nyari materi² kesmas gitu dmn ya kak? Aku kesmas unnes juga tp masih maba😭";0;0;0;0;in;1561337889409368072;1624409754536939520;democrashut;https://twitter.com/democrashut/status/1696487479111782750
Tue Aug 29 11:35:38 +0000 2023;1696486764058460176;"@mustikaamhrn Bisa kok itu benaran ada, di unnes ada dua jalur skripsi dan publikasi jurnal  kalau publikasi jurnal minimal nembus sinta 3 , baru bisa lulus tanpa sidang skripsi";0;0;0;1;in;1175600671300571136;1696485013322391915;yukbisasarjana;https://twitter.com/yukbisasarjana/status/1696486764058460176
Tue Aug 29 11:35:03 +0000 2023;1696486615869431817;"-ness rekomen makan malem? makasih";0;5;0;0;in;1187284958370398209;1696486615869431817;unnesmenfess;https://twitter.com/unnesmenfess/status/1696486615869431817
Tue Aug 29 11:33:50 +0000 2023;1696486310964547822;"3 jam "diceramahinnya" lebih dari 1 jam 🤣";0;0;0;0;in;1187284958370398209;1696486309463052456;unnesmenfess;https://twitter.com/unnesmenfess/status/1696486310964547822
Tue Aug 29 11:33:50 +0000 2023;1696486309463052456;"-ness cerita sedikit. pas aku jadi ketupan suatu kegiatan pernah diprotes gara2 rapat cuma 2-3jam sm seorang senior dari yg biasanya rapat sampe lewat tengah malem. padahal sengaja rapat dibikin lebih ringkas, padet, dan udah dipastiin ada progress per harinya. rapatnya  (cont..)";0;3;0;6;in;1187284958370398209;1696486309463052456;unnesmenfess;https://twitter.com/unnesmenfess/status/1696486309463052456
Tue Aug 29 11:33:34 +0000 2023;1696486245982158962;"-ness Aku kehilangan kacamataku, itu kacamata silinder gais Frame dominan item dan oren Disekitaran fipp, sayang gaada fotonya, kalo ada yg liat atau nemu bisa komen ya, nnti ku dm thankyou 🤍";1;0;2;3;in;1187284958370398209;1696486245982158962;unnesmenfess;https://twitter.com/unnesmenfess/status/1696486245982158962
Tue Aug 29 11:30:11 +0000 2023;1696485393997410471;"-ness Di kos cewek, ada ngga sih drama anak kosan yang bikin kalian pengen ngamuk-ngamuk? 😔";11;47;1;18;in;1187284958370398209;1696485393997410471;unnesmenfess;https://twitter.com/unnesmenfess/status/1696485393997410471
Tue Aug 29 11:26:54 +0000 2023;1696484565802779128;"-ness ada yg tau kalau stlh validasi kelulusan nunggu berapa lama dinyatakan lulus di dikti?";0;1;0;1;in;1187284958370398209;1696484565802779128;unnesmenfess;https://twitter.com/unnesmenfess/status/1696484565802779128
Tue Aug 29 11:24:11 +0000 2023;1696483883779522636;"Bagi yang merasa kehilangan kartu br1 di C6 256 bisa reply ya -ness https://t.co/XWLZTw1yqX";0;0;0;0;in;1187284958370398209;1696483883779522636;unnesmenfess;https://twitter.com/unnesmenfess/status/1696483883779522636
Tue Aug 29 11:23:38 +0000 2023;1696483743069032460;"-ness ada yg mau preloved kipas angin gak??? urgent";0;3;0;0;in;1187284958370398209;1696483743069032460;unnesmenfess;https://twitter.com/unnesmenfess/status/1696483743069032460
Tue Aug 29 11:23:15 +0000 2023;1696483649917686130;"@unnesmenfess Nasi sambel lalapan sepuasnya cuma 7.000, sambelnya nagih banget, beda sama yg lain 📍Ayam Goreng Rempah, Gg. Nangka https://t.co/ahW8TvSx81";0;0;0;0;in;1645019912740683777;1696455062682533941;helmi_chakim;https://twitter.com/helmi_chakim/status/1696483649917686130
Tue Aug 29 11:23:02 +0000 2023;1696483595630838262;"-ness beli ceker dimana ya? dan harganya berapa? makasih";0;1;0;0;in;1187284958370398209;1696483595630838262;unnesmenfess;https://twitter.com/unnesmenfess/status/1696483595630838262
Tue Aug 29 11:20:33 +0000 2023;1696482970637611378;"-ness yg tadi tes TOEFL, itu tuh harus bawa kartu vaksin kah? Trs kartu peserta nya di print juga?";0;6;0;0;in;1187284958370398209;1696482970637611378;unnesmenfess;https://twitter.com/unnesmenfess/status/1696482970637611378
Tue Aug 29 11:20:28 +0000 2023;1696482948789477400;"-ness atm bt*n yang di atm center itu masiih rame ga yaa, tadi sender ke sana ngantrinya panjang banget 😭😭 pict pemanis https://t.co/rrFEtZcy3q";0;0;0;3;in;1187284958370398209;1696482948789477400;unnesmenfess;https://twitter.com/unnesmenfess/status/1696482948789477400
Tue Aug 29 11:20:23 +0000 2023;1696482927343767884;"-ness ada yang punya buku ini dan bole dipinjem 1 semester ngga ya kaka kaka? akan aku jaga bukunya dengan baik 😭🙏🏻 https://t.co/QI3nVKw9vU";0;2;0;0;in;1187284958370398209;1696482927343767884;unnesmenfess;https://twitter.com/unnesmenfess/status/1696482927343767884
Tue Aug 29 11:15:40 +0000 2023;1696481739450015948;"-ness ada yang open jastip gacoan buat malem ini ga ya?";0;1;0;0;in;1187284958370398209;1696481739450015948;unnesmenfess;https://twitter.com/unnesmenfess/status/1696481739450015948
Tue Aug 29 11:14:04 +0000 2023;1696481335454617886;"Di area un -ness atau skitarnya atau semarang raya, yg bisa duplikat kunci Keyless yamaha dimana yaa? Soalnya kunci lama mati 😅";0;2;0;0;in;1187284958370398209;1696481335454617886;unnesmenfess;https://twitter.com/unnesmenfess/status/1696481335454617886
Tue Aug 29 11:13:55 +0000 2023;1696481298876100993;"-ness haloo disini ada yg jual bouqet disekitar unnes ga ya? kalo ada reply dong aku lg nyari nih";0;2;0;1;in;1187284958370398209;1696481298876100993;unnesmenfess;https://twitter.com/unnesmenfess/status/1696481298876100993
Tue Aug 29 11:10:20 +0000 2023;1696480398296096872;"-ness sate saffir dah buka belum ya?";0;3;0;0;in;1187284958370398209;1696480398296096872;unnesmenfess;https://twitter.com/unnesmenfess/status/1696480398296096872
Tue Aug 29 11:08:00 +0000 2023;1696479808379883839;"-ness rekomendasiin kuliner daerah bawah dong";0;3;0;0;in;1187284958370398209;1696479808379883839;unnesmenfess;https://twitter.com/unnesmenfess/status/1696479808379883839
Tue Aug 29 11:07:33 +0000 2023;1696479696647868715;"-ness tau ga dmn yg jual pakaian warna warni sekitar unnes?";0;0;0;0;in;1187284958370398209;1696479696647868715;unnesmenfess;https://twitter.com/unnesmenfess/status/1696479696647868715
Tue Aug 29 11:06:54 +0000 2023;1696479534907023588;"-ness info anjem ready buat ke rumil dari gang rambutan";0;9;0;1;in;1187284958370398209;1696479534907023588;unnesmenfess;https://twitter.com/unnesmenfess/status/1696479534907023588
Tue Aug 29 11:04:45 +0000 2023;1696478990314471498;"-ness ada yg mau info part time ga? tp yang serius mau kerja ya, rep aja nanti aku dm";0;29;0;8;in;1187284958370398209;1696478990314471498;unnesmenfess;https://twitter.com/unnesmenfess/status/1696478990314471498
Tue Aug 29 11:03:19 +0000 2023;1696478629763715272;"-ness sayur mobil yg deket gang jeruk kalo pagi itu lengkap ga ya? kalo ayam gitu ada ga?";0;3;0;1;in;1187284958370398209;1696478629763715272;unnesmenfess;https://twitter.com/unnesmenfess/status/1696478629763715272
Tue Aug 29 10:59:40 +0000 2023;1696477715187356008;"-ness [titipan]   aku gatau kamu maba atau bukan mba, tapi kalau ngajak temen main tolong dong jangan berisik sampe ngeganggu yang  depannya. tolong dibaca lagi peraturan kosnya (adaa di depan) makasih🙏🏻 https://t.co/jE2AJyHkF1";5;25;0;46;in;1187284958370398209;1696477715187356008;unnesmenfess;https://twitter.com/unnesmenfess/status/1696477715187356008
Tue Aug 29 10:57:32 +0000 2023;1696477177842438605;"-ness tempat makan disekitar gwp yg bisa bayar pake qris dong";0;0;0;0;in;1187284958370398209;1696477177842438605;unnesmenfess;https://twitter.com/unnesmenfess/status/1696477177842438605
Tue Aug 29 10:57:16 +0000 2023;1696477110930641079;"@handingscar IKR cakep bgt but at the same time beneren menggambarkan konten pilar unnes wellbeing(?) kek idk ttg kesehatan mental tapi in comforting and enjoying way";0;1;0;0;in;1572330076750118912;1696476352940331478;houdiebinne;https://twitter.com/houdiebinne/status/1696477110930641079
Tue Aug 29 10:54:16 +0000 2023;1696476352940331478;"unnes wellbeing team graphic designnya siapa ya cakep bener designnya";0;1;0;0;in;1580489701013991424;1696476352940331478;handingscar;https://twitter.com/handingscar/status/1696476352940331478
Tue Aug 29 10:50:56 +0000 2023;1696475514926690353;"-ness ada yang tau cara balikin akun Instagram yang kena hack?😭😭";0;10;0;0;in;1187284958370398209;1696475514926690353;unnesmenfess;https://twitter.com/unnesmenfess/status/1696475514926690353
Tue Aug 29 10:47:35 +0000 2023;1696474671720595659;"-ness disini ada yg bisa makeup in natural buat daily gak? Aku pgn dateng ke sidang pacarku tp aku gak terlalu bs makeup🙃 nanti aku kasih feenya kok";0;8;0;6;in;1187284958370398209;1696474671720595659;unnesmenfess;https://twitter.com/unnesmenfess/status/1696474671720595659
Tue Aug 29 10:47:22 +0000 2023;1696474616628400352;"semua maba unnes pasti pernah foto depan tugu sambil pake jas almet https://t.co/AlgGxkWUlu";0;2;0;1;in;1171413685505413120;1696474616628400352;cirengisibabi_;https://twitter.com/cirengisibabi_/status/1696474616628400352
Tue Aug 29 10:43:59 +0000 2023;1696473764794610167;"-ness ini tuu jualannya ada tulisannya gitu ga? Aku tadi pagi cari ga dapettt:(";0;1;0;2;in;1187284958370398209;1696473764794610167;unnesmenfess;https://twitter.com/unnesmenfess/status/1696473764794610167
Tue Aug 29 10:41:25 +0000 2023;1696473119849103602;"-ness ada yg bisa jastip mie ayam bang mail driver cewe?";0;6;0;0;in;1187284958370398209;1696473119849103602;unnesmenfess;https://twitter.com/unnesmenfess/status/1696473119849103602
Tue Aug 29 10:41:17 +0000 2023;1696473086697361677;"HAII!! Setelah magrib jastip open yaa, yuu ready wa di bio😁";0;0;0;0;in;2452714220;1696473086697361677;huhglitchee;https://twitter.com/huhglitchee/status/1696473086697361677
Tue Aug 29 10:40:30 +0000 2023;1696472890064126117;"Info jastip gacoan ready besok sore dong -ness";0;1;0;0;in;1187284958370398209;1696472890064126117;unnesmenfess;https://twitter.com/unnesmenfess/status/1696472890064126117
Tue Aug 29 10:38:57 +0000 2023;1696472499482251335;"-ness biasanya kalian beli ayam mentah harga brp ya? klo di kios unggas brpaan";0;5;0;0;in;1187284958370398209;1696472499482251335;unnesmenfess;https://twitter.com/unnesmenfess/status/1696472499482251335
Tue Aug 29 10:37:28 +0000 2023;1696472127409676442;"Nguliahke 272 pegiat desa yang masih lulusan A sederajat agar bisa S1 di Unnes Semarang, melalui program RPL Desa kerjasama @kemendespdtt dengan Unnes Semarang. Maturnuwun Gus Menteri @halimiskandarnu atas programnya untuk peningkatan SDM desa kami.  Sesarengan mbangun Blora. https://t.co/TCTtoBqEFz";0;0;3;21;in;1490311333;1696472127409676442;AriefRohman_838;https://twitter.com/AriefRohman_838/status/1696472127409676442
Tue Aug 29 10:36:23 +0000 2023;1696471854981279850;"Jadi pengen mindahin unnes ke daerahku yang stok airnya melimpah 😭";0;0;0;0;in;1597479530872311808;1696471854981279850;hycaaa9;https://twitter.com/hycaaa9/status/1696471854981279850
Tue Aug 29 10:36:10 +0000 2023;1696471800174227564;"-ness ada yg punya buku statis eko edisi 3 buku 2 ngga yaa? yg bisa dipinjem atau dibèlï";0;2;0;0;in;1187284958370398209;1696471800174227564;unnesmenfess;https://twitter.com/unnesmenfess/status/1696471800174227564
Tue Aug 29 10:34:57 +0000 2023;1696471494929563805;"-ness kasih rekomendasi laundry murah+bagus dong *cantumin fee nya sekalian";1;0;0;1;in;1187284958370398209;1696471494929563805;unnesmenfess;https://twitter.com/unnesmenfess/status/1696471494929563805
Tue Aug 29 10:33:34 +0000 2023;1696471143065293099;"Guys anak UNNES ada yang pernah join/daftar StudentsxCEOs? -ness https://t.co/RnBpizaVm5";0;0;0;3;en;1187284958370398209;1696471143065293099;unnesmenfess;https://twitter.com/unnesmenfess/status/1696471143065293099
Tue Aug 29 10:31:05 +0000 2023;1696470520441798860;"-ness mantan gua udah bahagia banget sama cowo barunya, seneng banget liatnya dan bahagia selalu dengan kekasih barumu, kamu wanita yang akan selalu menjadi duniaku. https://t.co/cGHas9XQEh";0;2;0;3;in;1187284958370398209;1696470520441798860;unnesmenfess;https://twitter.com/unnesmenfess/status/1696470520441798860
Tue Aug 29 10:30:23 +0000 2023;1696470341852520954;"Sender besok mau ketemu dospem skripsi utk pertama kali buat bahas tema, kira kira apa yg perlu sender siapin dlu biar beliau acc tema yg sender tawarkan -ness";0;2;0;3;in;1187284958370398209;1696470341852520954;unnesmenfess;https://twitter.com/unnesmenfess/status/1696470341852520954
Tue Aug 29 10:28:09 +0000 2023;1696469782818849265;"-ness butuh anjem sekarang juga dari gang kantik ke cempaka sari";0;7;0;2;in;1187284958370398209;1696469782818849265;unnesmenfess;https://twitter.com/unnesmenfess/status/1696469782818849265
Tue Aug 29 10:25:21 +0000 2023;1696469076837904680;"-ness bantu up ini lagi boleh?";0;0;0;0;in;1187284958370398209;1696469076837904680;unnesmenfess;https://twitter.com/unnesmenfess/status/1696469076837904680
Tue Aug 29 10:20:22 +0000 2023;1696467823152013666;"-ness cinlok sama temen satu mku, yay or nay";0;2;0;1;in;1187284958370398209;1696467823152013666;unnesmenfess;https://twitter.com/unnesmenfess/status/1696467823152013666
Tue Aug 29 10:19:53 +0000 2023;1696467701290659927;"Untuk pejuang skripsi semester 9+ semoga semuanya dimudahkan, walaupun prosesnya panjang, walaupun rasanya berat, walaupun rasanya mau nyerah. Gaboleh males!!! Tahun depan harus bawa keluargamu ke wisuda! -ness  Ayo nangis dulu 😭";0;14;7;109;in;1187284958370398209;1696467701290659927;unnesmenfess;https://twitter.com/unnesmenfess/status/1696467701290659927
Tue Aug 29 10:14:47 +0000 2023;1696466415895871722;"Kalo ngurus pengembalian dana karena kelebihan bayar, itu pasti balik kan duitnya?? Takut bgt gak balik -ness";0;0;0;0;in;1187284958370398209;1696466415895871722;unnesmenfess;https://twitter.com/unnesmenfess/status/1696466415895871722
Tue Aug 29 10:13:40 +0000 2023;1696466135292731602;"@urfavgrlfr oh unnes";0;1;0;0;en;1381522066298445826;1696465497041273144;kohdoang;https://twitter.com/kohdoang/status/1696466135292731602
Tue Aug 29 10:10:42 +0000 2023;1696465389134487826;"-ness mau anjem sekarang area unnes";0;9;0;3;in;1187284958370398209;1696465389134487826;unnesmenfess;https://twitter.com/unnesmenfess/status/1696465389134487826
Tue Aug 29 10:06:37 +0000 2023;1696464360926048698;"-ness rekom sate taichan yang enak sekitar unnes dimana ya";0;3;0;1;in;1187284958370398209;1696464360926048698;unnesmenfess;https://twitter.com/unnesmenfess/status/1696464360926048698
Tue Aug 29 10:06:13 +0000 2023;1696464260103385314;"-ness (titipan) mohon pencerahannya ya. Tia~ https://t.co/9Q8tJ0q3V8";0;3;0;0;in;1187284958370398209;1696464260103385314;unnesmenfess;https://twitter.com/unnesmenfess/status/1696464260103385314
