created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Aug 31 23:58:12 +0000 2023;1697398414353584301;"-jualaness ada yg butuh facial wash?  Pre❤️ himalaya purifying neem facial wash 20k aja. Baru 2x pemakaian.  Bisa reply nnti sender DM. https://t.co/4ULy6SQ9YQ";0;2;0;0;in;1187284958370398209;1697398414353584301;unnesmenfess;https://twitter.com/unnesmenfess/status/1697398414353584301
Thu Aug 31 23:58:09 +0000 2023;1697398399874765032;"@garagarabola_ Info terkini gali daftar pjko unnes bang  Itu lagi ngurus berkas pendaftaran";0;0;0;0;in;1439796344638476296;1697048859690815640;SelvaApriandeni;https://twitter.com/SelvaApriandeni/status/1697398399874765032
Thu Aug 31 23:58:06 +0000 2023;1697398389175198049;"aku open yaaa";0;0;0;0;in;1619563483057770496;1697398389175198049;iNiniyaaaa;https://twitter.com/iNiniyaaaa/status/1697398389175198049
Thu Aug 31 23:53:44 +0000 2023;1697397290036777227;"-jualaness Yokk diangkut🤘ambil di kos yaa https://t.co/EmwS5KNTlE";0;19;0;5;in;1187284958370398209;1697397290036777227;unnesmenfess;https://twitter.com/unnesmenfess/status/1697397290036777227
Thu Aug 31 23:52:18 +0000 2023;1697396928030654534;"-jualaness yang minat reply aja tar aku dm 🙌🏻 https://t.co/K1IzLkx9do";0;0;0;0;in;1187284958370398209;1697396928030654534;unnesmenfess;https://twitter.com/unnesmenfess/status/1697396928030654534
Thu Aug 31 23:48:03 +0000 2023;1697395859082883196;"-jualaness yuk yg minat reply yaa, harga seikhlasnya 🙏 https://t.co/8exMroEX2I";0;1;0;0;in;1187284958370398209;1697395859082883196;unnesmenfess;https://twitter.com/unnesmenfess/status/1697395859082883196
Thu Aug 31 23:44:21 +0000 2023;1697394928463311353;"-jualaness preloved tas nih masih baguss!! yg tertarik bisa komen nanti di dm🫶🏻 https://t.co/sfzZlBkwgu";0;1;0;0;in;1187284958370398209;1697394928463311353;unnesmenfess;https://twitter.com/unnesmenfess/status/1697394928463311353
Thu Aug 31 23:40:51 +0000 2023;1697394047630164431;"-ness adakah yg preloved gamis/kemeja panjang hitam polos?";0;1;0;0;in;1187284958370398209;1697394047630164431;unnesmenfess;https://twitter.com/unnesmenfess/status/1697394047630164431
Thu Aug 31 23:38:35 +0000 2023;1697393475443110208;"-jualaness Preloved baju &amp  hijab yg jarang aku pake, kondisinya masih bagus semua🫰🏻 beli 2 item disc 10% 🥰  Rep aja Ntar sender dm untuk detailnya❤️ (TIA) https://t.co/ZE25b4TSbH";0;2;0;3;in;1187284958370398209;1697393475443110208;unnesmenfess;https://twitter.com/unnesmenfess/status/1697393475443110208
Thu Aug 31 23:37:03 +0000 2023;1697393090976416083;"-jualaness preloved masih pada bagus kalo minat langsung reply ajaa https://t.co/0IUOw7NAkf";0;9;1;0;in;1187284958370398209;1697393090976416083;unnesmenfess;https://twitter.com/unnesmenfess/status/1697393090976416083
