created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Aug 26 23:56:38 +0000 2023;1695586080819654708;"☄️yukkk guysss... ☄️ https://t.co/PNv6VnLdvf";0;0;0;0;en;1686631323824427008;1695586080819654708;Anjem_BangRizal;https://twitter.com/Anjem_BangRizal/status/1695586080819654708
Sat Aug 26 23:56:09 +0000 2023;1695585959142936790;"ada kakak kakak yang mau pinjemin buku-buku ini ngga ya buat 1 semester? kalo bisa yang kelasnya iup, tapi kalo ada yg indo gapapa juga 😭 nanti aku dm -ness tia https://t.co/pUdQ12Qh2G";0;5;0;1;in;1187284958370398209;1695585959142936790;unnesmenfess;https://twitter.com/unnesmenfess/status/1695585959142936790
Sat Aug 26 23:55:33 +0000 2023;1695585807514697923;"@unnesmenfess yukk kakkk";0;0;0;0;in;1686631323824427008;1695508334248591846;Anjem_BangRizal;https://twitter.com/Anjem_BangRizal/status/1695585807514697923
Sat Aug 26 23:54:49 +0000 2023;1695585622944317732;"@unnesmenfess yuk kakk💗💗 https://t.co/PNv6VnLdvf";0;0;0;0;in;1686631323824427008;1695548554109227167;Anjem_BangRizal;https://twitter.com/Anjem_BangRizal/status/1695585622944317732
Sat Aug 26 23:54:23 +0000 2023;1695585512374042910;"@unnesmenfess yukk kak";0;0;0;0;in;1686631323824427008;1695575283917877322;Anjem_BangRizal;https://twitter.com/Anjem_BangRizal/status/1695585512374042910
Sat Aug 26 23:51:29 +0000 2023;1695584785148899779;"@tanyarlfes anying unnes";0;0;0;0;en;1612139111963570176;1695253190999167038;kinberl766;https://twitter.com/kinberl766/status/1695584785148899779
Sat Aug 26 23:49:39 +0000 2023;1695584323645366442;"-ness nih yg butuh kerjaan aku ada info https://t.co/IJqStmsGc0";0;2;0;1;in;1187284958370398209;1695584323645366442;unnesmenfess;https://twitter.com/unnesmenfess/status/1695584323645366442
Sat Aug 26 23:48:33 +0000 2023;1695584046229979468;"-ness info bengkel mobil area unnes/semarang yang buka hari minggu dong ness, thanks in advance 🥺";0;0;0;0;in;1187284958370398209;1695584046229979468;unnesmenfess;https://twitter.com/unnesmenfess/status/1695584046229979468
Sat Aug 26 23:46:42 +0000 2023;1695583578296565797;"siap jalan kaki patemon unnes 😄👊";0;1;0;0;in;1374005984784359425;1695583578296565797;adv0cad;https://twitter.com/adv0cad/status/1695583578296565797
Sat Aug 26 23:35:20 +0000 2023;1695580718477594786;"Hidden gem sekitar unnes yg nyaman buat wfc dong? Gue butuh semangat buat mulai ngerjain proyek ini wkwkwk";0;3;0;3;in;2798543532;1695580718477594786;urslxttybaby;https://twitter.com/urslxttybaby/status/1695580718477594786
Sat Aug 26 23:31:18 +0000 2023;1695579702596141521;"geprek aybund buka nya jam berapa -ness";0;1;1;0;in;1187284958370398209;1695579702596141521;unnesmenfess;https://twitter.com/unnesmenfess/status/1695579702596141521
Sat Aug 26 23:28:00 +0000 2023;1695578874015567978;"@unnesmenfess DM nder";0;0;0;0;tr;1412595080486035457;1695575283917877322;cndy09__;https://twitter.com/cndy09__/status/1695578874015567978
Sat Aug 26 23:13:44 +0000 2023;1695575283917877322;"-ness ada yang ready jastip sekarang nggak yaa ?";0;8;0;3;in;1187284958370398209;1695575283917877322;unnesmenfess;https://twitter.com/unnesmenfess/status/1695575283917877322
Sat Aug 26 23:11:39 +0000 2023;1695574761194336364;"-ness pagi ini banyak yg jogging gaaak yaaa";0;2;0;0;in;1187284958370398209;1695574761194336364;unnesmenfess;https://twitter.com/unnesmenfess/status/1695574761194336364
Sat Aug 26 22:51:27 +0000 2023;1695569675810398563;"@tanyarlfes Lho Unnes @unneskonservasi";0;0;0;0;in;45805563;1695253190999167038;hendradedi;https://twitter.com/hendradedi/status/1695569675810398563
Sat Aug 26 22:49:03 +0000 2023;1695569072057164254;"ini aneh bgt semalem aku mimpi di belakang unnes ada gurun pasir yang lagi ngehisap gitu tapi luas bgt diameter hisapannya jadi dijaga ketat";0;1;0;0;in;1271143681;1695569072057164254;moon1205am;https://twitter.com/moon1205am/status/1695569072057164254
Sat Aug 26 22:46:50 +0000 2023;1695568511849132273;"-dearness aku ga pernah pacaran dari lahir WKWKWKWK, cara deketin cowok biar ga keliatan agresif gimana?";0;2;0;5;in;1187284958370398209;1695568511849132273;unnesmenfess;https://twitter.com/unnesmenfess/status/1695568511849132273
Sat Aug 26 22:43:05 +0000 2023;1695567569657463243;"@unnesmenfess Ready, Kak, driver cewek. Bisa langsung WA ke link yg ada di bio ya";0;0;0;0;in;1545283463875416066;1695486352857698632;Arsonist_Hope;https://twitter.com/Arsonist_Hope/status/1695567569657463243
Sat Aug 26 22:34:12 +0000 2023;1695565334881911265;"@unnesmenfess DM nder";0;0;0;0;tr;1412595080486035457;1695548554109227167;cndy09__;https://twitter.com/cndy09__/status/1695565334881911265
